CAMENSAC;1981;BO;55;2;UNITE;Verif CDT 
CAMENSAC;1982;BO;70;1;UNITE;Verif CDT 
CAMENSAC;1985;BO;47;2;UNITE;Verif CDT 
CAMENSAC;2003;BO;40;2;UNITE;Verif CDT 
CAMENSAC;2006;BO;25;1;UNITE;Verif CDT 
CAMENSAC;2007;BO;25;1;UNITE;Verif CDT 
CAMENSAC;2009;BO;30;4;UNITE;Verif CDT 
CAMENSAC;2015;BO;40;3;UNITE;Verif CDT 
CHARMAIL;1996;BO;30;11;UNITE;Verif CDT 
CISSAC;1973;BO;49,5;1;UNITE;Verif CDT 
CLEMENT PICHON;1985;BO;30;7;UNITE;Verif CDT 
COUFRAN;2002;BO;20;1;UNITE;Verif CDT 
DEMOISELLE DE SOCIANDO MALLET;2013;BO;15;1;UNITE;Verif CDT 
FONTESTEAU;1967;BO;153;1;UNITE;Verif CDT 
HAUT CONDISSAS;2005;MG;95;2;UNITE;Verif CDT 
LA FON DU BERGER;2003;BO;20;1;UNITE;Verif CDT 
LA LAGUNE;1983;BO;50;1;UNITE;Verif CDT 
LA TOUR CARNET;1998;BO;35;1;UNITE;Verif CDT 
LA TOUR CARNET;2015;BO;30;1;UNITE;Verif CDT 
LAGUNE;1966;BO;175,75;1;UNITE;Verif CDT 
LAGUNE;1966;BO;166,5;8;UNITE;Verif CDT 
LAGUNE;2009;BO;75;6;UNITE;Verif CDT 
LAGUNE;2010;BO;65;6;UNITE;Verif CDT 
LAGUNE;2011;BO;50;1;UNITE;Verif CDT 
LAGUNE;2014;MG;80;2;UNITE;Verif CDT 
LAGUNE;2015;MG;100;2;UNITE;Verif CDT 
LAGUNE;2016;MG;100;2;UNITE;Verif CDT 
LAGUNE;2017;MG;80;1;UNITE;Verif CDT 
LAMARQUE;1986;BO;40;2;UNITE;Verif CDT 
LANESSAN;1985;BO;40;12;UNITE;Verif CDT 
LANESSAN;1995;BO;25;3;UNITE;Verif CDT 
LAROSE TRINTAUDON;2006;BO;45;3;UNITE;Verif CDT 
LAROSE TRINTAUDON;2010;BO;22,5;6;UNITE;Verif CDT 
LAROSE TRINTAUDON;2010;MG;45;2;UNITE;Verif CDT 
LESTAGE SIMON;1989;BO;30;12;UNITE;Verif CDT 
LESTAGE SIMON;1990;BO;35;14;CBO12;Verif CDT 
LIVERSAN;1952;BO;202,5;1;UNITE;Verif CDT 
MOULINS DE CITRAN;1997;BO;25;6;UNITE;Verif CDT 
PEYRE LEBADE;1996;BO;15;1;UNITE;Verif CDT 
SOCIANDO MALLET;1983;BO;58,5;2;UNITE;Verif CDT 
SOCIANDO MALLET;1985;BO;45;1;UNITE;Verif CDT 
SOCIANDO MALLET;1989;BO;65;1;UNITE;Verif CDT 
SOCIANDO MALLET;1995;BO;45;1;UNITE;Verif CDT 
SOCIANDO MALLET;1996;BO;55;1;UNITE;Verif CDT 
SOCIANDO MALLET;2002;BO;30;2;UNITE;Verif CDT 
SOCIANDO MALLET;2006;BO;30;1;UNITE;Verif CDT 
SOCIANDO MALLET;2006;MG;55;2;UNITE;Verif CDT 
SOCIANDO MALLET;2008;BO;35;12;UNITE;Verif CDT 
SOCIANDO MALLET;2013;BO;20;1;UNITE;Verif CDT 
SOCIANDO MALLET;2015;MG;60;1;UNITE;Verif CDT 
SOCIANDO MALLET;2016;MG;60;2;UNITE;Verif CDT 
SOCIANDO MALLET;2017;MG;55;2;UNITE;Verif CDT 
TERREY;2004;BO;15;6;UNITE;Verif CDT 
TOUR CARNET;1975;BO;100;2;UNITE;Verif CDT 
TOUR CARNET;1975;BO;90;1;UNITE;Verif CDT 
VICTORIA;2009;DM;72;15;CBO3;Verif CDT 
VICTORIA;2015;MG;50;8;CBO6;Verif CDT 
LA CHENADE;1996;BO;20;7;UNITE;Verif CDT 
LA MISSION;1993;BO;20;1;UNITE;Verif CDT 
CLARKE;1989;BO;50;6;UNITE;Verif CDT 
CLARKE;1995;BO;30;12;UNITE;Verif CDT 
